CM5_Scale_factor,1.00,1.09,1.18,1.19,1.20,1.21,1.22,1.23,1.24,1.27,1.36
Alcohols,3.3071,2.5837,1.8047,1.7147,1.6233,1.5320,1.4400,1.3471,1.2538,0.9959,0.5856
Amines,3.3473,2.7090,2.1592,2.1188,2.0863,2.0578,2.0383,2.0185,2.0006,1.9485,1.8357
Carbonyl,1.6901,1.1073,0.9596,0.9868,1.0255,1.0714,1.1233,1.1754,1.2313,1.4220,2.2047
Halides,1.3802,1.0576,0.7700,0.7483,0.7338,0.7225,0.7135,0.7046,0.6979,0.7102,0.8690
Hydrocarbon,1.0233,0.8610,0.6961,0.6775,0.6593,0.6416,0.6248,0.6091,0.5947,0.5540,0.5119
N-Heterocycles,2.1809,1.4250,1.0270,1.0130,1.0125,1.0260,1.0395,1.0543,1.0810,1.2639,2.1145
Nitriles,0.7084,0.9698,2.2152,2.3702,2.5248,2.6814,2.8401,3.0007,3.1610,3.6516,5.1956
Nitro,1.4037,0.4721,0.7089,0.8360,0.9637,1.0927,1.2228,1.3538,1.4853,1.8917,3.1625
Sulfur,2.3121,2.1354,2.1488,2.1595,2.1689,2.1779,2.1861,2.1957,2.2051,2.2656,2.4587
