Molecules,Density_OPLS,Density_Prev,Density_CM1A,Density_CM5,Density_expt,D_OPLS,D_Prev,D_CM1A,D_CM5
Acetic acid,1.07,1.06,1.10,1.09,1.04,-0.03,-0.02,-0.06,-0.05
Acetone,0.80,0.80,0.81,0.84,0.78,-0.02,-0.02,-0.03,-0.06
Acetonitrile,0.76,0.77,0.76,0.81,0.78,0.02,0.02,0.02,-0.03
Aniline,1.01,1.04,1.04,1.03,1.02,0.01,-0.02,-0.02,-0.01
Benzonitrile,0.99,1.00,1.01,1.02,1.00,0.01,0.01,-0.01,-0.02
Cyclohexane,0.75,0.76,0.75,0.75,0.77,0.02,0.02,0.02,0.02
Diethylamine,0.71,0.71,0.70,0.69,0.70,-0.01,-0.01,0.00,0.01
Diethyl ether,0.71,0.71,0.71,0.71,0.71,0.00,0.00,0.00,0.00
"N,N-dimethylacetamide",0.96,0.91,0.99,0.99,0.94,-0.02,0.03,-0.05,-0.05
Ethanethiol,0.86,0.86,0.85,0.86,0.83,-0.03,-0.03,-0.02,-0.03
Ethanol,0.80,0.80,0.78,0.79,0.79,-0.01,-0.01,0.01,0.00
Furan,0.94,0.94,0.96,0.94,0.93,-0.01,-0.01,-0.03,-0.01
Hexane,0.64,0.68,0.64,0.64,0.66,0.02,-0.02,0.02,0.02
Methanol,0.78,0.78,0.74,0.76,0.79,0.01,0.01,0.05,0.03
Methyl acetate,0.94,0.93,1.00,1.00,0.93,-0.01,0.00,-0.07,-0.07
Nitroethane,1.02,1.03,1.11,1.07,1.04,0.02,0.01,-0.07,-0.03
N-methylacetamide,0.92,0.91,0.97,0.98,0.89,-0.03,-0.02,-0.08,-0.09
Phenol,1.05,1.05,1.06,1.05,1.06,0.01,0.01,0.00,0.01
Propylamine,0.72,0.72,0.74,0.70,0.71,-0.01,-0.01,-0.03,0.01
Pyridine,0.97,0.98,0.99,0.99,0.98,0.01,0.00,-0.01,-0.01
Pyrrole,0.97,0.99,1.01,1.00,0.97,0.00,-0.02,-0.04,-0.03
Tetrahydrofuran,0.85,0.86,0.85,0.86,0.88,0.03,0.03,0.03,0.02
