Molecules,Hvap_OPLS,Hvap_Prev,Hvap_CM1A,Hvap_CM5,Hvap_expt,D_OPLS,D_Prev,D_CM1A,D_CM5
Acetic acid,12.26,12.51,13.52,14.46,12.49,0.23,-0.02,-1.03,-1.97
Acetone,7.23,7.24,7.74,8.92,7.48,0.25,0.24,-0.26,-1.44
Acetonitrile,7.57,7.59,7.63,9.76,8.01,0.44,0.42,0.38,-1.75
Aniline,11.88,12.78,16.41,14.61,12.60,0.72,-0.18,-3.81,-2.01
Benzonitrile,12.52,12.55,14.45,15.49,12.54,0.02,-0.01,-1.91,-2.95
Cyclohexane,7.56,7.80,7.64,7.61,7.86,0.30,0.06,0.22,0.25
Diethylamine,7.68,7.84,7.54,7.46,7.48,-0.20,-0.36,-0.06,0.02
Diethyl ether,6.90,6.80,7.01,7.22,6.56,-0.34,-0.24,-0.45,-0.66
"N,N-dimethylacetamide",13.44,11.99,14.34,15.57,11.75,-1.69,-0.24,-2.59,-3.82
Ethanethiol,6.67,6.79,6.48,6.68,6.58,-0.09,-0.21,0.10,-0.10
Ethanol,10.29,10.29,9.06,10.19,10.11,-0.18,-0.18,1.05,-0.08
Furan,6.91,6.77,8.01,7.17,6.56,-0.35,-0.21,-1.45,-0.61
Hexane,7.54,8.07,7.48,7.34,7.54,0.00,-0.53,0.06,0.20
Methanol,9.00,8.95,7.60,8.84,8.95,-0.05,0.00,1.35,0.11
Methyl acetate,7.99,7.74,10.00,10.12,7.72,-0.27,-0.02,-2.28,-2.40
Nitroethane,9.78,9.99,14.16,11.72,9.94,0.16,-0.05,-4.22,-1.78
N-methylacetamide,13.87,13.55,16.12,19.06,13.30,-0.57,-0.25,-2.82,-5.76
Phenol,14.58,14.09,14.63,14.30,13.82,-0.76,-0.27,-0.81,-0.48
Propylamine,7.90,7.80,8.93,7.23,7.47,-0.43,-0.33,-1.46,0.24
Pyridine,9.76,9.80,11.16,11.16,9.61,-0.15,-0.19,-1.55,-1.55
Pyrrole,10.32,10.60,13.81,12.37,10.80,0.48,0.20,-3.01,-1.57
Tetrahydrofuran,7.52,7.49,7.66,8.08,7.61,0.09,0.12,-0.05,-0.47
